Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,Product ID,Product Name,Sales,Quantity,Discount,Shipping Cost,Profit
IN-2015-BT1168066-42351,12/13/2015,12/19/2015,BT-1168066,Brian Thompson,Japan,OFF-AP-4508,"Hamilton Beach Stove, White",3242.88,6,0,271.59,421.56
ES-2015-AB1016545-42351,12/13/2015,12/18/2015,AB-1016545,Alan Barnes,France,TEC-PH-3148,"Apple Smart Phone, Full Size",1622.34,3,0.15,168.62,248.04
CA-2015-RS19870140-42350,12/12/2015,12/15/2015,RS-198701402,Roy Skaria,United States,OFF-EN-5580,Pastel Pink Envelopes,7.28,1,0,1.84,3.49
CA-2015-RS19870140-42350,12/12/2015,12/15/2015,RS-198701402,Roy Skaria,United States,OFF-BI-6391,Wilson Jones Easy Flow II Sheet Lifters,5.4,3,0,1.55,2.59
NI-2015-AS22595-42350,12/12/2015,12/16/2015,AS-22595,Alan Schoenberger,Nigeria,TEC-PH-3818,"Cisco Speaker Phone, with Caller ID",41.54,1,0.7,1.61,-91.42
IR-2015-CC237060-42363,12/25/2015,12/30/2015,CC-237060,Christopher Conant,Iran,FUR-BO-5761,"Safco Classic Bookcase, Mobile",1762.68,4,0,162.31,669.72
CA-2015-AH10120140-42309,11/1/2015,11/5/2015,AH-101201402,Adrian Hane,United States,OFF-AR-5331,Newell 350,5.25,2,0.2,1.26,0.59
CA-2015-MH18025140-42061,2/26/2015,3/3/2015,MH-180251402,Michelle Huthwaite,United States,OFF-BI-3281,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.8,1.3,-3.04
CA-2014-MC17425140-41837,7/17/2014,7/19/2014,MC-174251402,Mark Cousins,United States,OFF-FA-6129,Staples,9.55,3,0.6,1.42,-3.82
IN-2015-MC1763559-42309,11/1/2015,11/5/2015,MC-1763559,Matthew Clasen,Indonesia,FUR-BO-5968,"Sauder Library with Doors, Pine",1808.76,5,0.07,161.95,155.46
NI-2015-AA64595-42309,11/1/2015,11/3/2015,,Anna Andreadi,Nigeria,TEC-AC-5221,"Memorex Numeric Keypad, Erganomic",14.01,1,0.7,1.96,-25.23
IN-2015-DK1309027-42308,10/31/2015,11/3/2015,DK-1309027,Dave Kipp,,TEC-CO-3611,"Brother Wireless Fax, Laser",2272.86,6,0,406.53,977.22
IN-2015-MO1780066-42308,10/31/2015,11/4/2015,MO-1780066,Meg O'Connel,Japan,OFF-AP-3873,"Cuisinart Stove, Red",4306.32,8,0,314.15,1722.48
MX-2015-KC1625555-42308,10/31/2015,10/31/2015,KC-1625555,Karen Carlisle,Honduras,FUR-BO-3892,"Dania Classic Bookcase, Traditional",492.91,3,0.4,139.689,73.93
US-2015-GT1471055-42299,10/22/2015,10/27/2015,GT-1471055,Greg Tran,Honduras,OFF-AR-3471,"BIC Sketch Pad, Water Color",145.15,7,0.4,11.057,-87.11
TU-2015-BT1440134-42276,9/29/2015,10/4/2015,BT-1440134,Bobby Trafton,Turkey,OFF-BI-2894,"Acco Binder Covers, Recycled",21.89,4,0.6,1.16,-16.51
US-2015-TT2146018-42276,9/29/2015,10/4/2015,TT-2146018,Tonja Turnell,Brazil,OFF-BI-4830,"Ibico Index Tab, Economy",2.78,1,0.6,1.107,-3.54
ES-2015-MS17770139-42275,9/28/2015,10/1/2015,MS-17770139,Maxwell Schwartz,United Kingdom,FUR-BO-3626,"Bush Classic Bookcase, Pine",2898.21,7,0,393.46,1420.02
ES-2015-MS17770139-42275,9/28/2015,10/1/2015,MS-17770139,Maxwell Schwartz,United Kingdom,OFF-AR-6105,"Stanley Canvas, Blue",692.58,14,0,70.06,110.46
ES-2015-MS17770139-42275,9/28/2015,10/1/2015,MS-17770139,Maxwell Schwartz,United Kingdom,FUR-BO-4845,"Ikea 3-Shelf Cabinet, Mobile",869.76,6,0,68.02,208.62
MX-2015-AM1036018-42273,9/26/2015,10/3/2015,AM-1036018,Alice McCarthy,Brazil,OFF-PA-4177,"Enermax Note Cards, Premium",19.94,1,0,1.139,5.18
TU-2015-FM4215134-42273,9/26/2015,10/1/2015,FM-4215134,Filia McAdams,,OFF-SU-2986,"Acme Ruler, Serrated",42.91,8,0.6,1.11,-34.37
IN-2015-PS1904558-42272,9/25/2015,9/27/2015,PS-1904558,,India,OFF-ST-6047,"Smead Lockers, Industrial",596.7,3,0,136.27,83.52
MX-2015-MH1729082-42272,9/25/2015,9/29/2015,MH-1729082,Marc Harrigan,Mexico,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",735.41,3,0.2,113.837,82.73
TU-2015-AB10060134-42236,8/20/2015,8/26/2015,AB-10060134,Adam Bellavance,Turkey,OFF-PA-4176,"Enermax Note Cards, Multicolor",13.06,1,0.6,1.13,-12.74
UP-2015-DW3480137-42234,8/18/2015,8/22/2015,DW-3480137,Dianna Wilson,Ukraine,FUR-CH-5757,"SAFCO Chairmat, Black",229.56,4,0,31.14,11.4
IT-2015-TT2146064-42230,8/14/2015,8/18/2015,TT-2146064,Tonja Turnell,Italy,TEC-MA-5008,"Konica Inkjet, Wireless",1316.45,7,0.4,91.97,-526.72
CG-2015-PV898533-42225,8/9/2015,8/13/2015,PV-898533,Paul Van Hugh,Democratic Republic of the Congo,OFF-ST-6049,"Smead Lockers, Wire Frame",197.49,1,0,8.55,17.76
CA-2014-AB10150140-41670,1/31/2014,2/2/2014,AB-101501402,Aimee Bixby,United States,OFF-PA-6553,Xerox 1994,15.55,3,0.2,3.66,5.44
MX-2015-JL1513051-42212,7/27/2015,8/1/2015,JL-1513051,Jack Lebron,Guatemala,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",612.84,2,0,56.63,177.72
NI-2015-DO364595-42201,7/16/2015,7/18/2015,DO-364595,Doug O'Connell,Nigeria,OFF-EN-4904,"Jiffy Business Envelopes, Security-Tint",4.79,1,0.7,1.22,-10.24
ES-2015-SA208308-42201,7/16/2015,7/20/2015,,Sue Ann Reed,Austria,OFF-BI-6402,"Wilson Jones Index Tab, Clear",17.73,3,0,1.15,1.53
ID-2015-DB136607-42200,7/15/2015,7/20/2015,DB-136607,Duane Benoit,Australia,OFF-AP-4963,"KitchenAid Refrigerator, White",2525.18,8,0.4,109.57,-294.82
ES-2015-KB1640545-42181,6/26/2015,6/28/2015,KB-1640545,Katrina Bavinger,France,OFF-AR-3448,"BIC Canvas, Easy-Erase",377.79,7,0,22.81,128.31
MX-2015-LM1706531-42179,6/24/2015,6/28/2015,LM-1706531,Liz MacKendrick,Cuba,TEC-AC-3380,"Belkin Flash Drive, Programmable",202.72,7,0,21.375,3.92
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,LS-1694559,Linda Southworth,Indonesia,FUR-TA-3338,"Barricks Coffee Table, Rectangular",951.04,6,0.47,110.58,-646.1
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,LS-1694559,Linda Southworth,Indonesia,OFF-ST-4108,"Eldon Trays, Wire Frame",156.17,4,0.17,22.23,-3.79
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,LS-1694559,Linda Southworth,Indonesia,OFF-PA-5878,"SanDisk Message Books, Premium",88.37,7,0.47,17.06,-78.37
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,,Linda Southworth,Indonesia,OFF-LA-6037,"Smead File Folder Labels, Laser Printer Compatible",9.41,2,0.47,1.88,-4.45
MO-2015-MK816086-42134,5/10/2015,5/13/2015,MK-816086,Mike Kennedy,Morocco,FUR-TA-3755,"Chromcraft Coffee Table, Adjustable Height",269.28,1,0,35.78,110.4
MX-2015-EK1379582-42122,4/28/2015,5/3/2015,EK-1379582,,Mexico,FUR-BO-5966,"Sauder Library with Doors, Metal",412.9,2,0.2,14.953,20.62
ES-2015-MP17470120-42101,4/7/2015,4/11/2015,MP-17470120,Mark Packer,Spain,TEC-MA-4999,"Konica Calculator, Red",175.61,4,0.1,18.91,56.57
IN-2015-CA120551-42085,3/22/2015,3/29/2015,CA-120551,Cathy Armstrong,Afghanistan,FUR-FU-5726,"Rubbermaid Door Stop, Erganomic",169.68,4,0,11.01,79.68
CM-2015-CS213022-42064,3/1/2015,,CS-213022,Chad Sievert,Cameroon,OFF-AR-3454,"BIC Highlighters, Water Color",22.11,1,0,1.29,3.96
IN-2015-LD170057-42063,2/28/2015,3/4/2015,LD-170057,Lisa DeCherney,Australia,FUR-BO-5798,"Safco Stackable Bookrack, Pine",545.4,4,0.1,106.53,60.6
RO-2015-LA6780107-42063,2/28/2015,3/2/2015,LA-6780107,Laura Armstrong,Romania,TEC-PH-3148,"Apple Smart Phone, Full Size",1272.42,2,0,87.08,356.22
CA-2015-TM21490140-42213,7/28/2015,8/1/2015,TM-214901406,Tony Molinari,United States,FUR-FU-6299,Tensor Computer Mounted Lamp,14.89,1,0,1.8,4.02
CA-2014-CP12085140-41729,3/31/2014,4/2/2014,CP-120851406,Cathy Prescott,United States,OFF-PA-6428,Xerox 188,11.34,1,0,2.01,5.56
US-2015-SW20245140-42061,2/26/2015,3/2/2015,SW-202451408,Scot Wooten,United States,FUR-BO-3652,"Bush Westfield Collection Bookcases, Medium Cherry Finish",231.92,5,0.2,12.95,5.8
US-2015-SW20245140-42061,2/26/2015,3/2/2015,SW-202451408,Scot Wooten,United States,FUR-CH-4412,"Global High-Back Leather Tilter, Burgundy",196.78,2,0.2,9.91,-22.14
ID-2014-VW2177559-42001,12/28/2014,1/2/2015,VW-2177559,Victoria Wilson,Indonesia,OFF-ST-6262,"Tenex Lockers, Industrial",339.69,2,0.17,25.49,32.73
IN-2014-AC106157-42001,12/28/2014,12/31/2014,AC-106157,Ann Chong,Australia,OFF-EN-4912,"Jiffy Interoffice Envelope, Set of 50",167.18,4,0.1,23.8,18.5
ID-2014-VW2177559-42001,12/28/2014,1/2/2015,,Victoria Wilson,Indonesia,FUR-CH-4702,"Hon Swivel Stool, Black",235.38,2,0.27,20.4,67.68
ES-2014-DK1283545-41974,12/1/2014,12/5/2014,DK-1283545,Damala Kotsonis,France,TEC-MA-4999,"Konica Calculator, Red",41.46,1,0.15,1.46,11.7
ES-2014-SM2000591-41973,11/30/2014,12/2/2014,SM-2000591,Sally Matthias,Netherlands,,"Okidata Inkjet, Wireless",628.44,4,0.5,162.41,-615.96
MX-2014-DB1321036-41961,11/18/2014,11/20/2014,DB-1321036,Dean Braden,Dominican Republic,OFF-PA-4462,"Green Bar Cards & Envelopes, Multicolor",79.68,3,0.2,13.812,-6
MX-2014-AW1084082-41942,10/30/2014,11/3/2014,AW-1084082,Anthony Witt,Mexico,OFF-LA-4687,"Hon Round Labels, Alphabetical",4.32,1,0,1.123,2.06
CA-2015-SF20200140-42310,11/2/2015,11/4/2015,SF-202001404,Sarah Foster,United States,FUR-TA-4625,Hon 94000 Series Round Tables,2665.62,9,0,294.17,239.91
CA-2015-SF20200140-42310,11/2/2015,11/4/2015,SF-202001404,Sarah Foster,United States,OFF-BI-4366,GBC Standard Plastic Binding Systems' Combs,25.12,5,0.2,1.53,7.85
MX-2014-NP1868565-41907,9/25/2014,9/30/2014,NP-1868565,Nora Pelletier,Jamaica,FUR-CH-5367,"Novimex Bag Chairs, Black",174.12,6,0,8.684,76.56
MA-2014-FC424577-41878,8/27/2014,9/2/2014,FC-424577,Frank Carlisle,Madagascar,TEC-AC-3390,"Belkin Memory Card, Programmable",232.62,2,0,15.95,69.78
CA-2015-DS13030140-42026,1/22/2015,1/26/2015,DS-130301404,Darrin Sayre,United States,OFF-ST-3745,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3,0,38.48,9.72
MX-2014-RS1976593-41878,8/27/2014,8/29/2014,RS-1976593,Roland Schwarz,Nicaragua,FUR-CH-5449,"Office Star Rocking Chair, Set of Two",190.88,2,0,15.568,43.88
ES-2014-JM1526514-41878,8/27/2014,9/1/2014,JM-1526514,Janet Molinari,Belgium,OFF-EN-3661,"Cameo Interoffice Envelope, Recycled",138.69,3,0,14.81,58.23
RS-2014-TH11100108-41875,8/24/2014,8/28/2014,TH-11100108,Thea Hendricks,Russia,OFF-PA-4143,"Enermax Cards & Envelopes, 8.5 x 11",102.48,2,0,6.32,9.18
ID-2014-MT1807059-41839,7/19/2014,7/23/2014,MT-1807059,Michelle Tran,Indonesia,FUR-CH-5437,"Office Star Chairmat, Adjustable",99.73,2,0.27,14.31,-24.65
CA-2014-AS10285140-41941,10/29/2014,10/30/2014,AS-102851404,Alejandro Savely,United States,OFF-BI-6098,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.54,3,0.2,7.99,17.34
CA-2014-CC12475140-41920,10/8/2014,10/13/2014,CC-124751404,Cindy Chapman,United States,OFF-PA-3159,Astroparche Fine Business Paper,10.56,2,0,1.61,5.07
MO-2014-MA799586-41825,7/5/2014,7/9/2014,MA-799586,Michelle Arnett,Morocco,OFF-BI-2883,"Acco 3-Hole Punch, Economy",30.12,1,0,5.73,5.7
