Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,Product ID,Product Name,Sales,Quantity,Discount,Shipping Cost,Profit,Total,total,profit_margin,total-form-freature,total-form-freatureEngineering,total_from_featureEngineering
IN-2015-BT1168066-42351,12/13/2015,12/19/2015,BT-1168066,Brian Thompson,Japan,OFF-AP-4508,"Hamilton Beach Stove, White",3242.88,6,0.0,271.59,421.56,3514.47,3664.44,0.12999555950266428,3664.44,3664.44,3664.44
ES-2015-AB1016545-42351,12/13/2015,12/18/2015,AB-1016545,Alan Barnes,France,TEC-PH-3148,"Apple Smart Phone, Full Size",1622.34,3,0.15,168.62,248.04,1790.81,1870.38,0.1528902696105625,1870.38,1870.38,1870.3799999999999
CA-2015-RS19870140-42350,12/12/2015,12/15/2015,RS-198701402,Roy Skaria,United States,OFF-EN-5580,Pastel Pink Envelopes,7.28,1,0.0,1.84,3.49,9.12,10.77,0.4793956043956044,10.77,10.77,10.77
CA-2015-RS19870140-42350,12/12/2015,12/15/2015,RS-198701402,Roy Skaria,United States,OFF-BI-6391,Wilson Jones Easy Flow II Sheet Lifters,5.4,3,0.0,1.55,2.59,6.95,7.99,0.4796296296296296,7.99,7.99,7.99
NI-2015-AS22595-42350,12/12/2015,12/16/2015,AS-22595,Alan Schoenberger,Nigeria,TEC-PH-3818,"Cisco Speaker Phone, with Caller ID",41.54,1,0.7,1.61,-91.42,42.45,-49.88,-2.200770341839191,-49.88,-49.88,-49.88
IR-2015-CC237060-42363,12/25/2015,12/30/2015,CC-237060,Christopher Conant,Iran,FUR-BO-5761,"Safco Classic Bookcase, Mobile",1762.68,4,0.0,162.31,669.72,1924.99,2432.4,0.3799441759139492,2432.4,2432.4,2432.4
CA-2015-AH10120140-42309,11/1/2015,11/5/2015,AH-101201402,Adrian Hane,United States,OFF-AR-5331,Newell 350,5.25,2,0.2,1.26,0.59,6.31,5.84,0.11238095238095237,5.84,5.84,5.84
CA-2015-MH18025140-42061,2/26/2015,3/3/2015,MH-180251402,Michelle Huthwaite,United States,OFF-BI-3281,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.8,1.3,-3.04,2.29,-1.25,-1.6983240223463687,-1.25,-1.25,-1.25
CA-2014-MC17425140-41837,7/17/2014,7/19/2014,MC-174251402,Mark Cousins,United States,OFF-FA-6129,Staples,9.55,3,0.6,1.42,-3.82,10.37,5.73,-0.39999999999999997,5.73,5.73,5.73
IN-2015-MC1763559-42309,11/1/2015,11/5/2015,MC-1763559,Matthew Clasen,Indonesia,FUR-BO-5968,"Sauder Library with Doors, Pine",1808.76,5,0.07,161.95,155.46,1970.64,1964.22,0.08594838452862735,1964.22,1964.22,1964.22
IN-2015-MO1780066-42308,10/31/2015,11/4/2015,MO-1780066,Meg O'Connel,Japan,OFF-AP-3873,"Cuisinart Stove, Red",4306.32,8,0.0,314.15,1722.48,4620.47,6028.799999999999,0.39998885359193004,6028.799999999999,6028.799999999999,6028.799999999999
MX-2015-KC1625555-42308,10/31/2015,10/31/2015,KC-1625555,Karen Carlisle,Honduras,FUR-BO-3892,"Dania Classic Bookcase, Traditional",492.91,3,0.4,139.689,73.93,632.199,566.84,0.14998681300845998,566.84,566.84,566.84
US-2015-GT1471055-42299,10/22/2015,10/27/2015,GT-1471055,Greg Tran,Honduras,OFF-AR-3471,"BIC Sketch Pad, Water Color",145.15,7,0.4,11.057,-87.11,155.807,58.040000000000006,-0.6001377884946607,58.040000000000006,58.040000000000006,58.040000000000006
TU-2015-BT1440134-42276,9/29/2015,10/4/2015,BT-1440134,Bobby Trafton,Turkey,OFF-BI-2894,"Acco Binder Covers, Recycled",21.89,4,0.6,1.16,-16.51,22.45,5.379999999999999,-0.7542256738236638,5.379999999999999,5.379999999999999,5.379999999999999
US-2015-TT2146018-42276,9/29/2015,10/4/2015,TT-2146018,Tonja Turnell,Brazil,OFF-BI-4830,"Ibico Index Tab, Economy",2.78,1,0.6,1.107,-3.54,3.287,-0.7600000000000002,-1.2733812949640289,-0.7600000000000002,-0.7600000000000002,-0.7600000000000002
ES-2015-MS17770139-42275,9/28/2015,10/1/2015,MS-17770139,Maxwell Schwartz,United Kingdom,FUR-BO-3626,"Bush Classic Bookcase, Pine",2898.21,7,0.0,393.46,1420.02,3291.67,4318.23,0.4899644953264256,4318.23,4318.23,4318.23
ES-2015-MS17770139-42275,9/28/2015,10/1/2015,MS-17770139,Maxwell Schwartz,United Kingdom,OFF-AR-6105,"Stanley Canvas, Blue",692.58,14,0.0,70.06,110.46,762.64,803.0400000000001,0.15949060036385687,803.0400000000001,803.0400000000001,803.0400000000001
ES-2015-MS17770139-42275,9/28/2015,10/1/2015,MS-17770139,Maxwell Schwartz,United Kingdom,FUR-BO-4845,"Ikea 3-Shelf Cabinet, Mobile",869.76,6,0.0,68.02,208.62,937.78,1078.38,0.23985927152317882,1078.38,1078.38,1078.38
MX-2015-AM1036018-42273,9/26/2015,10/3/2015,AM-1036018,Alice McCarthy,Brazil,OFF-PA-4177,"Enermax Note Cards, Premium",19.94,1,0.0,1.139,5.18,21.079,25.12,0.25977933801404207,25.12,25.12,25.12
MX-2015-MH1729082-42272,9/25/2015,9/29/2015,MH-1729082,Marc Harrigan,Mexico,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",735.41,3,0.2,113.837,82.73,849.047,818.14,0.11249507077684558,818.14,818.14,818.14
TU-2015-AB10060134-42236,8/20/2015,8/26/2015,AB-10060134,Adam Bellavance,Turkey,OFF-PA-4176,"Enermax Note Cards, Multicolor",13.06,1,0.6,1.13,-12.74,13.59,0.3200000000000003,-0.9754977029096478,0.3200000000000003,0.3200000000000003,0.3200000000000003
UP-2015-DW3480137-42234,8/18/2015,8/22/2015,DW-3480137,Dianna Wilson,Ukraine,FUR-CH-5757,"SAFCO Chairmat, Black",229.56,4,0.0,31.14,11.4,260.7,240.96,0.04966021955044433,240.96,240.96,240.96
IT-2015-TT2146064-42230,8/14/2015,8/18/2015,TT-2146064,Tonja Turnell,Italy,TEC-MA-5008,"Konica Inkjet, Wireless",1316.45,7,0.4,91.97,-526.72,1408.02,789.73,-0.4001063466139998,789.73,789.73,789.73
CG-2015-PV898533-42225,8/9/2015,8/13/2015,PV-898533,Paul Van Hugh,Democratic Republic of the Congo,OFF-ST-6049,"Smead Lockers, Wire Frame",197.49,1,0.0,8.55,17.76,206.04,215.25,0.08992860397994835,215.25,215.25,215.25
CA-2014-AB10150140-41670,1/31/2014,2/2/2014,AB-101501402,Aimee Bixby,United States,OFF-PA-6553,Xerox 1994,15.55,3,0.2,3.66,5.44,19.01,20.99,0.3498392282958199,20.99,20.99,20.990000000000002
MX-2015-JL1513051-42212,7/27/2015,8/1/2015,JL-1513051,Jack Lebron,Guatemala,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",612.84,2,0.0,56.63,177.72,669.47,790.5600000000001,0.28999412570981004,790.5600000000001,790.5600000000001,790.5600000000001
NI-2015-DO364595-42201,7/16/2015,7/18/2015,DO-364595,Doug O'Connell,Nigeria,OFF-EN-4904,"Jiffy Business Envelopes, Security-Tint",4.79,1,0.7,1.22,-10.24,5.31,-5.45,-2.1377870563674324,-5.45,-5.45,-5.45
ID-2015-DB136607-42200,7/15/2015,7/20/2015,DB-136607,Duane Benoit,Australia,OFF-AP-4963,"KitchenAid Refrigerator, White",2525.18,8,0.4,109.57,-294.82,2634.35,2230.36,-0.11675207311954,2230.36,2230.36,2230.3599999999997
ES-2015-KB1640545-42181,6/26/2015,6/28/2015,KB-1640545,Katrina Bavinger,France,OFF-AR-3448,"BIC Canvas, Easy-Erase",377.79,7,0.0,22.81,128.31,400.6,506.1,0.339633129516398,506.1,506.1,506.1
MX-2015-LM1706531-42179,6/24/2015,6/28/2015,LM-1706531,Liz MacKendrick,Cuba,TEC-AC-3380,"Belkin Flash Drive, Programmable",202.72,7,0.0,21.375,3.92,224.095,206.64,0.019337016574585635,206.64,206.64,206.64
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,LS-1694559,Linda Southworth,Indonesia,FUR-TA-3338,"Barricks Coffee Table, Rectangular",951.04,6,0.47,110.58,-646.1,1061.15,304.93999999999994,-0.6793615410497982,304.93999999999994,304.93999999999994,304.93999999999994
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,LS-1694559,Linda Southworth,Indonesia,OFF-ST-4108,"Eldon Trays, Wire Frame",156.17,4,0.17,22.23,-3.79,178.23,152.38,-0.02426842543382212,152.38,152.38,152.38
